-15.013047	-17.156981	-20.807716
-14.868163	-17.85047	-20.010848
-15.013047	-17.156981	-20.807716
-14.838248	-17.691538	-20.321431
-15.251875	-17.156903	-21.044258
-14.258212	-17.85098	-20.698077
-15.158894	-17.446258	-20.488804
-15.211802	-17.778593	-20.207283
-15.013047	-17.156981	-20.807716
-15.077842	-17.805746	-20.184274
-14.418842	-17.077459	-21.078412
-13.919139	-18.008252	-20.693194
-14.673974	-17.314253	-20.802833
-14.392172	-17.823827	-20.721086
-14.673974	-17.314253	-20.802833
-14.757087	-18.09168	-20.496132
-14.392172	-17.823827	-20.721086
-15.377962	-17.424834	-20.582762
-14.304256	-18.528291	-19.813881
-14.053099	-17.981099	-20.716203
-14.053099	-17.981099	-20.716203
-14.304256	-18.528291	-19.813881
-14.217373	-18.358384	-20.234801
-13.919139	-18.008252	-20.693194
-14.404059	-18.140257	-20.379165
-14.251348	-18.195956	-20.095402
-14.217373	-18.358384	-20.234801
-14.829249	-18.038606	-20.336827
-14.675906	-18.116985	-19.116553
-14.829249	-18.038606	-20.336827
-14.064662	-18.414083	-19.951038
-14.831384	-18.036514	-19.718756
-14.304256	-18.528291	-19.813881
-14.064662	-18.414083	-19.951038
-13.84014	-18.530222	-19.498126
-14.48306	-18.362993	-19.539172
-14.052978	-18.779886	-18.879911
-14.079734	-18.64443	-19.360969
-14.052978	-18.779886	-18.879911
-13.586374	-18.903334	-17.159555
-13.751288	-18.863975	-17.875228
-15.484053	-16.484707	-21.256043
-15.43087	-17.757169	-20.301241
-15.438237	-17.05533	-20.765378
-15.191276	-17.642961	-20.438398
-15.077842	-17.805746	-20.184274
-15.273122	-16.580363	-21.123305
-15.251875	-17.156903	-21.044258
-15.43087	-17.757169	-20.301241
-14.838248	-17.691538	-20.321431
-14.258212	-17.85098	-20.698077
-14.404059	-18.140257	-20.379165
-14.61124	-17.802403	-20.815044
-14.757087	-18.09168	-20.496132
-14.683402	-17.749329	-20.655739
-14.61124	-17.802403	-20.815044
-14.125261	-17.928025	-20.556898
-14.251348	-18.195956	-20.095402
-14.053099	-17.981099	-20.716203
-14.623127	-18.118833	-20.473123
-14.757087	-18.09168	-20.496132
-13.84014	-18.530222	-19.498126
-14.404059	-18.140257	-20.379165
-14.251348	-18.195956	-20.095402
-13.84014	-18.530222	-19.498126
-13.84014	-18.530222	-19.498126
-13.893048	-18.862557	-19.216605
-14.217373	-18.358384	-20.234801
-13.893048	-18.862557	-19.216605
-14.079734	-18.64443	-19.360969
-13.893048	-18.862557	-19.216605
-14.624237	-18.638449	-19.201599
-14.079734	-18.64443	-19.360969
-13.893048	-18.862557	-19.216605
-13.586374	-18.903334	-17.159555
-13.751288	-18.863975	-17.875228
-14.157253	-18.72844	-18.517151
-13.751288	-18.863975	-17.875228
-15.449871	-16.744612	-20.514955
-14.972208	-17.664385	-20.34444
-14.157253	-18.72844	-18.517151
-15.484053	-16.484707	-21.256043
-15.013047	-17.156981	-20.807716
-15.251875	-17.156903	-21.044258
-14.673974	-17.314253	-20.802833
-15.013047	-17.156981	-20.807716
-14.418842	-17.077459	-21.078412
-14.972208	-17.664385	-20.34444
-15.013047	-17.156981	-20.807716
-15.211802	-17.778593	-20.207283
-15.251875	-17.156903	-21.044258
-14.868163	-17.85047	-20.010848
-15.024934	-17.473411	-20.465795
-15.013047	-17.156981	-20.807716
-15.077842	-17.805746	-20.184274
-15.211802	-17.778593	-20.207283
-13.919139	-18.008252	-20.693194
-14.392172	-17.823827	-20.721086
-14.61124	-17.802403	-20.815044
-14.258212	-17.85098	-20.698077
-14.258212	-17.85098	-20.698077
-14.125261	-17.928025	-20.556898
-14.053099	-17.981099	-20.716203
-13.919139	-18.008252	-20.693194
-14.053099	-17.981099	-20.716203
-14.683402	-17.749329	-20.655739
-14.404059	-18.140257	-20.379165
-14.217373	-18.358384	-20.234801
-14.478289	-17.879448	-20.673865
