-14.285277	-17.308903	-20.927988
-15.013047	-17.156981	-20.807716
-15.013047	-17.156981	-20.807716
-15.013047	-17.156981	-20.807716
-15.484053	-16.484707	-21.256043
-15.43087	-17.757169	-20.301241
-15.191276	-17.642961	-20.438398
-15.077842	-17.805746	-20.184274
-14.673974	-17.314253	-20.802833
-14.673974	-17.314253	-20.802833
-15.013047	-17.156981	-20.807716
-14.418842	-17.077459	-21.078412
-14.868163	-17.85047	-20.010848
-14.838248	-17.691538	-20.321431
-14.392172	-17.823827	-20.721086
-14.258212	-17.85098	-20.698077
-14.258212	-17.85098	-20.698077
-14.258212	-17.85098	-20.698077
-14.053099	-17.981099	-20.716203
-14.053099	-17.981099	-20.716203
-14.404059	-18.140257	-20.379165
-14.053099	-17.981099	-20.716203
-13.919139	-18.008252	-20.693194
-13.919139	-18.008252	-20.693194
-14.125261	-17.928025	-20.556898
-14.251348	-18.195956	-20.095402
-14.478289	-17.879448	-20.673865
-14.404059	-18.140257	-20.379165
-14.053099	-17.981099	-20.716203
-14.251348	-18.195956	-20.095402
-14.251348	-18.195956	-20.095402
-14.251348	-18.195956	-20.095402
-14.829249	-18.038606	-20.336827
-13.84014	-18.530222	-19.498126
-13.84014	-18.530222	-19.498126
-14.675906	-18.116985	-19.116553
-14.757087	-18.09168	-20.496132
-14.079734	-18.64443	-19.360969
-14.251348	-18.195956	-20.095402
-14.064662	-18.414083	-19.951038
-14.304256	-18.528291	-19.813881
-13.893048	-18.862557	-19.216605
-13.893048	-18.862557	-19.216605
-13.84014	-18.530222	-19.498126
-14.720045	-18.115484	-19.166939
-14.079734	-18.64443	-19.360969
-13.893048	-18.862557	-19.216605
-13.893048	-18.862557	-19.216605
-14.304256	-18.528291	-19.813881
-14.157253	-18.72844	-18.517151
-14.48306	-18.362993	-19.539172
-14.624237	-18.638449	-19.201599
-14.304256	-18.528291	-19.813881
-14.052978	-18.779886	-18.879911
-14.624237	-18.638449	-19.201599
-14.972208	-17.664385	-20.34444
-14.683402	-17.749329	-20.655739
-15.271067	-16.90991	-20.789664
-14.61124	-17.802403	-20.815044
-14.418842	-17.077459	-21.078412
-15.227938	-17.41059	-20.339513
-15.013047	-17.156981	-20.807716
-15.251875	-17.156903	-21.044258
-14.392172	-17.823827	-20.721086
-14.61124	-17.802403	-20.815044
-15.013047	-17.156981	-20.807716
-13.919139	-18.008252	-20.693194
-14.623127	-18.118833	-20.473123
-14.829249	-18.038606	-20.336827
-14.757087	-18.09168	-20.496132
-14.064662	-18.414083	-19.951038
-14.404059	-18.140257	-20.379165
-14.757087	-18.09168	-20.496132
-14.757087	-18.09168	-20.496132
-14.079734	-18.64443	-19.360969
-14.064662	-18.414083	-19.951038
-14.829249	-18.038606	-20.336827
-14.829249	-18.038606	-20.336827
-14.675906	-18.116985	-19.116553
-14.571329	-18.306114	-19.48312
-14.217373	-18.358384	-20.234801
-14.217373	-18.358384	-20.234801
-14.647883	-18.168558	-19.326244
-14.157253	-18.72844	-18.517151
-13.893048	-18.862557	-19.216605
-14.064662	-18.414083	-19.951038
-14.48306	-18.362993	-19.539172
-14.079734	-18.64443	-19.360969
-14.058233	-18.792345	-17.532118
-14.624237	-18.638449	-19.201599
-13.586374	-18.903334	-17.159555
-13.586374	-18.903334	-17.159555
-15.211802	-17.778593	-20.207283
-14.972208	-17.664385	-20.34444
-14.258212	-17.85098	-20.698077
